code,beach,reference,city,lat,lng
P01,"Praia Ponta d’Areia","Ao lado do Espigão Ponta D’Areia","São Luís",-2.500300,-44.319806
P02,"Praia Ponta d’Areia","Em frente à rampa, lado do Praia Mar Hotel","São Luís",-2.497611,-44.312306
P03,"Praça do Sol","Centro de Atendimento ao Banhista","São Luís",-2.494306,-44.307806
P04,"Praia Ponta do Farol","Em frente ao Farol e Forte de São Marcos","São Luís",-2.486389,-44.302000
P05,"Praia de São Marcos","Praça do Pescador / Barraca do Chef","São Luís",-2.486694,-44.292306
P06,"Praia de São Marcos","Posto Guarda Vidas – Bombeiros","São Luís",-2.486806,-44.284889
P07,"Praia de São Marcos","Prédio verde com heliporto","São Luís",-2.486500,-44.275611
P08,"Praia de São Marcos","Banca de Jornal – Praça de Alimentação","São Luís",-2.483306,-44.267194
P09,"Praia do Calhau","Estação Elevatória de Esgoto 2.2 / CAEMA","São Luís",-2.481306,-44.261194
P10,"Praia do Calhau","Rua Altamira / Pousada Vela Mar","São Luís",-2.481583,-44.253500
P11,"Praia do Calhau","Av. Copacabana / Pousada Suíça","São Luís",-2.481500,-44.238778
P12,"Praia do Olho d’Água","Rua São Geraldo","São Luís",-2.479500,-44.238611
P13,"Praia do Olho d’Água","Elevatória Iemanjá II","São Luís",-2.476317,-44.223853
P14,"Praia do Olho d’Água","Casa com pirâmides no teto","São Luís",-2.475000,-44.220806
P15,"Praia do Meio","Próximo ao Kacthus Bar e Restaurante","São José de Ribamar",-2.470389,-44.211611
P16,"Praia do Meio","Bar e Restaurante Capiau 2","São José de Ribamar",-2.468111,-44.206306
P17,"Praia do Araçagy","Rampa principal de acesso à praia","São José de Ribamar",-2.464111,-44.198611
P18,"Praia do Araçagy","Bar da Atalaia","São José de Ribamar",-2.463306,-44.191389
P19,"Praia do Araçagy","Bar e Restaurante Rainha","Paço do Lumiar",-2.459306,-44.175611
P20,"Praia Olho de Porco","Las Vegas Bar e Restaurante","Paço do Lumiar",-2.459306,-44.175611
P21,"Praia Olho de Porco","Última barraca antes da foz do igarapé","Raposa",-2.456306,-44.172833
P22,"Praia do Mangue Seco","Biblioteca do Caranguejo / Barracas Val e Pedro","Raposa",-2.450111,-44.163111
